COLE_COD_MCPIO_UBICACION,Ano,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,ESTU_TIENEETNIA,COLE_NATURALEZA,PUNT_GLOBAL,MUNICIPIO,DEPARTAMENTO,PoblacionTotal,ConexMilHab,NoAccesosFijos,Indice_Rural
05088,2019,0.8081795150199059,0.6967387451258419,0.004072628542338368,0.33259799762430003,242.2840658408281,BELLO,ANTIOQUIA,538527.0,202.3798249669933,108987.0,0.040296958184083624
05091,2014,0.26373626373626374,0.4945054945054945,0.0,0.0,237.46153846153845,BETANIA,ANTIOQUIA,10123.0,33.735058777042376,341.5,0.652869702657315
05091,2015,0.36507936507936506,0.4603174603174603,0.0,0.0,228.23809523809524,BETANIA,ANTIOQUIA,10153.0,39.840441248891956,404.5,0.6528119767556387
05091,2016,0.5333333333333333,0.7466666666666667,0.0,0.0,245.64,BETANIA,ANTIOQUIA,10161.0,44.18856411770495,449.0,0.6528884952268478
05091,2017,0.3333333333333333,0.45454545454545453,0.0,0.0,252.86363636363637,BETANIA,ANTIOQUIA,10168.0,47.69866247049567,485.0,0.6509638080251771
05091,2018,0.3103448275862069,0.35,0.0,0.0,233.8360655737705,BETANIA,ANTIOQUIA,10323.0,48.919887629565046,505.0,0.6511672963285866
05091,2019,0.38823529411764707,0.4090909090909091,0.0,0.0,230.0989010989011,BETANIA,ANTIOQUIA,10274.0,54.55518785283239,560.5,0.6459022775939264
05093,2014,0.37606837606837606,0.5042735042735043,0.0,0.0,230.6239316239316,BETULIA,ANTIOQUIA,15317.0,34.73264999673565,532.0,0.7270353202324215
05093,2015,0.3333333333333333,0.32679738562091504,0.0,0.0,223.45751633986927,BETULIA,ANTIOQUIA,15362.0,38.9923187085015,599.0,0.7277047259471423
05093,2016,0.20603015075376885,0.2914572864321608,0.0,0.0,225.74371859296483,BETULIA,ANTIOQUIA,15374.0,40.29530375959412,619.5,0.727396903863666
05093,2017,0.2864583333333333,0.27918781725888325,0.0,0.0,226.7156862745098,BETULIA,ANTIOQUIA,15384.0,43.226729069162765,665.0,0.7260140405616224
05093,2018,0.2694063926940639,0.32751091703056767,0.0,0.0,216.66806722689077,BETULIA,ANTIOQUIA,15607.0,44.33907861856859,692.0,0.7261485230986096
05093,2019,0.27312775330396477,0.29411764705882354,0.0,0.0,207.51440329218107,BETULIA,ANTIOQUIA,15736.0,50.123919674631416,788.75,0.7206405693950177
05101,2014,0.4107142857142857,0.5607142857142857,0.0,0.24468085106382978,247.53900709219857,CIUDAD BOLÍVAR,ANTIOQUIA,30404.0,54.58163399552691,1659.5,0.42333245625575583
05101,2015,0.4533333333333333,0.5433333333333333,0.0033333333333333335,0.22,248.27,CIUDAD BOLÍVAR,ANTIOQUIA,29245.0,64.30159001538725,1880.5,0.4229440930073517
05101,2016,0.381294964028777,0.5035971223021583,0.025179856115107913,0.11151079136690648,262.1798561151079,CIUDAD BOLÍVAR,ANTIOQUIA,27585.0,71.81439187964473,1981.0,0.41718325176726484
05101,2017,0.4117647058823529,0.4782608695652174,0.03908794788273615,0.18892508143322476,251.28664495114006,CIUDAD BOLÍVAR,ANTIOQUIA,26369.0,77.11706928590391,2033.5,0.40733436990405403
05101,2018,0.45126353790613716,0.43252595155709345,0.006896551724137931,0.17586206896551723,242.69655172413792,CIUDAD BOLÍVAR,ANTIOQUIA,26118.0,78.97809939505322,2062.75,0.4025576230951834
05101,2019,0.45871559633027525,0.37797619047619047,0.020114942528735632,0.1752873563218391,230.99425287356323,CIUDAD BOLÍVAR,ANTIOQUIA,26160.0,84.77637614678899,2217.75,0.3916284403669725
05107,2014,0.4375,0.46875,0.0,0.0,224.484375,BRICEÑO,ANTIOQUIA,7853.0,26.61403285368649,209.0,0.6878899783522221
05107,2015,0.027777777777777776,0.027777777777777776,0.0,0.0,218.63888888888889,BRICEÑO,ANTIOQUIA,7889.0,30.992521232095324,244.5,0.6866523006718215
05107,2016,0.4666666666666667,0.6666666666666666,0.0,0.0,235.26666666666668,BRICEÑO,ANTIOQUIA,7895.0,35.085497150094994,277.0,0.6858771374287523
05107,2017,0.35714285714285715,0.5185185185185185,0.0,0.0,219.14285714285714,BRICEÑO,ANTIOQUIA,7906.0,38.13559322033898,301.5,0.6836579812800405
05107,2018,0.42105263157894735,0.475,0.0,0.0,229.475,BRICEÑO,ANTIOQUIA,8039.0,43.56885184724468,350.25,0.6825475805448439
05107,2019,0.5,0.4583333333333333,0.0,0.0,222.4375,BRICEÑO,ANTIOQUIA,8065.0,46.34221946683199,373.75,0.6698078115313081
05113,2014,0.13157894736842105,0.39473684210526316,0.0,0.0,242.21052631578948,BURITICÁ,ANTIOQUIA,8020.0,31.546134663341647,253.0,0.7645885286783043
05113,2015,0.24107142857142858,0.33035714285714285,0.0,0.0,223.96428571428572,BURITICÁ,ANTIOQUIA,8203.0,34.255760087772764,281.0,0.7600877727660612
05113,2016,0.012658227848101266,0.35443037974683544,0.0,0.0,225.8987341772152,BURITICÁ,ANTIOQUIA,8488.0,33.75353440150801,286.5,0.7573044297832233
05113,2017,0.2804878048780488,0.3409090909090909,0.0,0.0,232.8314606741573,BURITICÁ,ANTIOQUIA,8839.0,33.77078855074103,298.5,0.7584568390089377
05113,2018,0.4117647058823529,0.37777777777777777,0.0,0.0,222.4516129032258,BURITICÁ,ANTIOQUIA,9354.0,38.0585845627539,356.0,0.7610647851186658
05113,2019,0.43373493975903615,0.3146067415730337,0.0,0.0,215.7888888888889,BURITICÁ,ANTIOQUIA,9502.0,47.77941486002947,454.0,0.7573142496316565
05120,2014,0.3263157894736842,0.45789473684210524,0.021052631578947368,0.03684210526315789,232.83684210526314,CÁCERES,ANTIOQUIA,28459.0,23.208826733195124,660.5,0.816683650163393
05120,2015,0.14285714285714285,0.25824175824175827,0.03296703296703297,0.02197802197802198,229.76373626373626,CÁCERES,ANTIOQUIA,28573.0,24.32366219857908,695.0,0.8169950652714101
05120,2016,0.3165829145728643,0.35175879396984927,0.04020100502512563,0.0,237.14070351758795,CÁCERES,ANTIOQUIA,28609.0,26.355342724317524,754.0,0.8164214058513055
05120,2017,0.3284313725490196,0.3222748815165877,0.02336448598130841,0.0,241.32242990654206,CÁCERES,ANTIOQUIA,28572.0,30.711885762284755,877.5,0.8152736945261094
05120,2018,0.27091633466135456,0.2737642585551331,0.01818181818181818,0.0,221.19636363636363,CÁCERES,ANTIOQUIA,28996.0,29.47820389019175,854.75,0.8153193543937095
05120,2019,0.3074074074074074,0.20727272727272728,0.014134275618374558,0.0,217.24734982332154,CÁCERES,ANTIOQUIA,29716.0,33.0798223179432,983.0,0.8127944541661059
05125,2014,0.12903225806451613,0.14516129032258066,0.0,0.0,222.93548387096774,CAICEDO,ANTIOQUIA,8139.0,17.26256296842364,140.5,0.801572674775771
05125,2015,0.1566265060240964,0.20481927710843373,0.0,0.0,225.96385542168676,CAICEDO,ANTIOQUIA,8168.0,23.93486777668952,195.5,0.8020323212536729
